sos_name,sos,source_url,updated_at_utc
Illinois State,151,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Davidson,152,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Sam Houston State,153,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Loyola-Marymount,154,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Cal Poly,155,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Grand Canyon,156,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Old Dominion,157,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Eastern Kentucky,158,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
James Madison,159,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Southern Utah,160,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
UIC,161,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Indiana State,162,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
UC Riverside,163,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Gardner-Webb,164,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Western Michigan,165,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
San Diego,166,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Pepperdine,167,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Campbell,168,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Troy,169,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
UMass,170,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Northern Illinois,171,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Valparaiso,172,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Penn,173,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
William & Mary,174,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Dartmouth,175,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Delaware,176,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Central Michigan,177,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Green Bay,178,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
North Texas,179,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Jacksonville State,180,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Saint Joseph's,181,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Merrimack,182,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Eastern Michigan,183,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Arkansas State,184,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Rice,185,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Louisiana,186,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Rider,187,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Winthrop,188,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Missouri State,189,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Buffalo,190,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Cal State Fullerton,191,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
UTA,192,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Tulsa,193,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Milwaukee,194,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Seattle University,195,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Charlotte,196,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Tarleton State,197,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Quinnipiac,198,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Louisiana Tech,199,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Harvard,200,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Stony Brook,201,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Western Carolina,202,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
McNeese,203,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Hampton,204,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Furman,205,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
UC San Diego,206,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
North Florida,207,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
New Orleans,208,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Siena,209,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Pacific,210,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Mercer,211,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Texas A&M-Corpus Christi,212,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Wright State,213,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Saint Peter's,214,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Kennesaw State,215,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Cal State Northridge,216,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Samford,217,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Long Beach State,218,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
UC Davis,219,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Georgia State,220,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Cleveland State,221,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
South Dakota State,222,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Miami (OH),223,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Northwestern State,224,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
UNCW,225,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Omaha,226,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Eastern Washington,227,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Chattanooga,228,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
